barcode,neg,ag,MFI
JS086,FALSE,Tetanus_toxoid,748
JS086,FALSE,AMA1,3090
JS086,FALSE,MSP119,5088
JS086,FALSE,GLURP,3312
JS086,FALSE,Gexp18,4013
JS086,FALSE,Rh5,3252
JS086,FALSE,SBP1,3050
JS086,FALSE,ETRAMP5,2247.5
JS086,FALSE,EBA175,1324
JS086,FALSE,HSP40,2685.5
JS086,FALSE,ETRAMP4,2409
JS086,FALSE,Rh4,3320.5
JS086,FALSE,Rh2,18604
JS086,FALSE,Hyp2,4675
JS086,FALSE,MSP2_CH150,5526
JS086,FALSE,PfSEA,1712
JS086,FALSE,EBA140,5080
JS086,FALSE,CSP,653
JS086,FALSE,MSP2_Dd2,4969
JS086,FALSE,gSG6,3646
JS085,FALSE,Tetanus_toxoid,3758
JS085,FALSE,AMA1,544
JS085,FALSE,MSP119,5454.5
JS085,FALSE,GLURP,712
JS085,FALSE,Gexp18,598
JS085,FALSE,Rh5,843.5
JS085,FALSE,SBP1,319
JS085,FALSE,ETRAMP5,266
JS085,FALSE,EBA175,154
JS085,FALSE,HSP40,405
JS085,FALSE,ETRAMP4,299
JS085,FALSE,Rh4,956
JS085,FALSE,Rh2,391
JS085,FALSE,Hyp2,407
JS085,FALSE,MSP2_CH150,552
JS085,FALSE,PfSEA,296
JS085,FALSE,EBA140,1024
JS085,FALSE,CSP,219
JS085,FALSE,MSP2_Dd2,671
JS085,FALSE,gSG6,434
JS033,FALSE,Tetanus_toxoid,613
JS033,FALSE,AMA1,1247.5
JS033,FALSE,MSP119,8758
JS033,FALSE,GLURP,4700
JS033,FALSE,Gexp18,860
JS033,FALSE,Rh5,1355
JS033,FALSE,SBP1,704.5
JS033,FALSE,ETRAMP5,662
JS033,FALSE,EBA175,611.5
JS033,FALSE,HSP40,734
JS033,FALSE,ETRAMP4,1011
JS033,FALSE,Rh4,1881
JS033,FALSE,Rh2,1192.5
JS033,FALSE,Hyp2,669.5
JS033,FALSE,MSP2_CH150,1292
JS033,FALSE,PfSEA,511
JS033,FALSE,EBA140,2156.5
JS033,FALSE,CSP,366.5
JS033,FALSE,MSP2_Dd2,1119
JS033,FALSE,gSG6,1147
JS031,FALSE,Tetanus_toxoid,20013.5
JS031,FALSE,AMA1,548.5
JS031,FALSE,MSP119,6151
JS031,FALSE,GLURP,535
JS031,FALSE,Gexp18,1547
JS031,FALSE,Rh5,1034
JS031,FALSE,SBP1,808.5
JS031,FALSE,ETRAMP5,962
JS031,FALSE,EBA175,542
JS031,FALSE,HSP40,1649
JS031,FALSE,ETRAMP4,1074.5
JS031,FALSE,Rh4,1672
JS031,FALSE,Rh2,2059
JS031,FALSE,Hyp2,1227.5
JS031,FALSE,MSP2_CH150,987
JS031,FALSE,PfSEA,1252
JS031,FALSE,EBA140,792.5
JS031,FALSE,CSP,472
JS031,FALSE,MSP2_Dd2,979
JS031,FALSE,gSG6,613
JS029,FALSE,Tetanus_toxoid,444
JS029,FALSE,AMA1,4086
JS029,FALSE,MSP119,10265
JS029,FALSE,GLURP,1775
JS029,FALSE,Gexp18,1515
JS029,FALSE,Rh5,555
JS029,FALSE,SBP1,1111
JS029,FALSE,ETRAMP5,703
JS029,FALSE,EBA175,387
JS029,FALSE,HSP40,1101.5
JS029,FALSE,ETRAMP4,750
JS029,FALSE,Rh4,2316
JS029,FALSE,Rh2,970.5
JS029,FALSE,Hyp2,1008
JS029,FALSE,MSP2_CH150,819
JS029,FALSE,PfSEA,955
JS029,FALSE,EBA140,1245
JS029,FALSE,CSP,577
JS029,FALSE,MSP2_Dd2,879.5
JS029,FALSE,gSG6,421.5
JS032,FALSE,Tetanus_toxoid,30684
JS032,FALSE,AMA1,1237
JS032,FALSE,MSP119,5881
JS032,FALSE,GLURP,727
JS032,FALSE,Gexp18,4728
JS032,FALSE,Rh5,1725
JS032,FALSE,SBP1,1549
JS032,FALSE,ETRAMP5,4322
JS032,FALSE,EBA175,445
JS032,FALSE,HSP40,1140
JS032,FALSE,ETRAMP4,1012
JS032,FALSE,Rh4,1078
JS032,FALSE,Rh2,1189
JS032,FALSE,Hyp2,1502
JS032,FALSE,MSP2_CH150,1441
JS032,FALSE,PfSEA,1670
JS032,FALSE,EBA140,1272
JS032,FALSE,CSP,648
JS032,FALSE,MSP2_Dd2,1307
JS032,FALSE,gSG6,977.5
JS048,FALSE,Tetanus_toxoid,2066
JS048,FALSE,AMA1,3305.5
JS048,FALSE,MSP119,1156
JS048,FALSE,GLURP,19610
JS048,FALSE,Gexp18,2523
